,name,type,description,prerequesite,skill_tree_id
30,Relentless I,Passive,Maximum Ki increases by +30 when you have an odachi equipped as your main weapon.,Clarity,7
31,Relentless II,Passive,Maximum Ki increases by +20 when you have an odachi equipped as your main weapon.,"Relentless I
Cleared Mssion ""The Sun Sets On Mount Tenno"".",7
32,Relentless III,Passive,Maximum Ki increases by +10 when you have an odachi equipped as your main weapon.,Relentless II,7
33,Devastating Rush,Active,"Build up power while drawing the odachi, then unleashes a fierce thrust forward.
Command: Hold tirangle button",Twin Moons,7
34,First Rule of Thrusting,Passive,Damage of thrust attacks increases by 3% when you have an odachi equipped as your main weapon.,Devastating Rush,7
35,Second Rule of Thrusting,Passive,Damage of thrust attacks increases by 2% when you have an odachi equipped as your main weapon.,"First Rule of Thrusting
Cleared Mission "" The Sun Sets On Mount Tenno"".",7
36,Third Rule of Thrusting,Passive,Damage of thrust attacks increases by 1% when you have an odachi equipped as your main weapon.,"Second Rule of Thrusting
Cleared Mission ""???""",7
37,Twin Moons,Active,"Rapidly slashes upwards twice. (High Stance  Only).
Commando: triangle button at end of combo.",Base,7
38,Sword of Severance I,Passive,Increases damage of odachi attacks against humans by 6%,Twin Moons,7
39,Sword of Severance II,Passive,Increases damage of odachi attacks against humans by 3%,Sword of Severance I,7
40,Sword of Severance III,Passive,Increases damage of odachi attacks against humans by 3%,Sword of Severance II,7
41,Waking Winds: Earth,Active,"Allows you to follow up a quick attack from high or mid stance with a strong attack from low stance. (High/Mid stance only).
Command: triangle button at end of combo.","Twin Moons
Bolting Boar",7
42,Sunset Breeze: Earth I,Active,"Allows you to follow up a strong attack from high or mid stance with a quick attack from low stance. (High/Mid stance only).
Command: Square button at end of combo",Waking Winds: Earth,7
43,Shadow Strike III,Passive,Damage dealt to enemies from behind increases by 1% when you have an odachi equipped as your main weapon.,"Shadow Strike II
Cleared Mission ""???""",7
44,Shadow Strike II,Passive,Damage dealt to enemies from behind increases by 2% when you have an odachi equipped as your main weapon.,"Shadow Strike I
Cleared Mission ""The Sun Sets On Mount Tenno"".",7
45,Shadow Strike I,Passive,Damage dealt to enemies from behind increases by 3% when you have an odachi equipped as your main weapon.,Retrograde Flow,7
0,Ki Pulse: Heaven,Active,Activates when you recover full Ki from Ki Pulse. Applies a special effect that raises the damage caused by your next attack. (High Stance only), Base,8
1,Masterful Slice,Custom Active Skills,Increases the Ki damage dealt by certain Active Skills by 20%. Ki consumption Rate 1.40,Running Water: Man,8
2,Round Carrier,Passive,Increases the number of cannon rounds that can be carrier by 1,Cannonmaster I,8
3,Final Blow,Active,Grapple a downed enemy before fallowing up with a powerful attack.,Stance,8
4,Quivermaker,Passive,Increases the number of arrows that can be carrier by 3,Bowmaster I,8
5,Shot Pouch,Passive,Increases the number of rifle rounds that can be carrier by 2,Matchlock Master I,8
6,Damage Boost: Courage,Custom Active Skills,Grants certain Active Skills a damage bonus based on your Courage. Ki Consumption Rate 1.10,"Cleared Mission ''The Sun Sets On Mount Tenno''
Composure",8
7,Damage Boost: Magic,Custom Active Skills,Grants certain Active Skills a damage bonus based on your Magic. Ki Consumption Rate 1.10,Purify Yokai Realm: Earth,8
8,Damage Boost: Constitution,Custom Active Skills,Grants certain Active Skills a damage bonus based on your Constitution. Ki Consumption Rate 1.10,"Cleared Mission ''The Sun Sets On Mount Tenno''
Fortitude II",8
9,Damage Boost: Skill,Custom Active Skills,Grants certain Active Skills a damage bonus based on your Skill. Ki Consumption Rate 1.10,"Bowmaster I
Masterful Slice",8
10,Damage Boost: Heart,Custom Active Skills,Grants certain Active Skills a damage bonus based on your Heart. Ki Consumption Rate 1.10,Deliberate Slice,8
11,Cannonmaster I,Passive,Increases cannon damage by 5%.,"Matchlock Master I
Cleared Mission ''??''",8
12,Damage Boost: Strength,Custom Active Skills,Grants certain Active Skills a damage bonus based on your Strength. Ki Consumption Rate 1.10,"Reckless Slice
Cleared Mission: ''The Sun Sets On Mount Tenno''",8
13,Running Water: Heaven,Active,Dodging at the perfect timing will now automatically trigger a Ki Pulse. (High stance only),Ki Pulse: Heaven,8
14,Bowmaster I,Passive,Increases bow damage by 5%,"Ki Pulse: Man
Ki Pulse: Heaven",8
15,Matchlock Master I,Passive,Increases matchlock damage by 5%,Bowmaster I,8
16,Deliberate Slice,Custom Active Skills,Increases the maximum amount of that can be recovered by Ki Pulse by for 30% certain Active Skills. Ki consumption Rate 1.20,Flux II,8
17,Bowmaster II,Passive,Increases bow damage by 3%,Bowmaster I,8
18,Ki Pulse: Man,Active,Activates when you recover full Ki from a Ki Pulse. Applies a special effect that negates the Ki damage you receive from the next attack that hits your guard. (Mid stance only),Base,8
19,Running Water: Man,Active,Dodging at the perfect timing all now automatically trigger a Ki Pulse (Mid stance only),Ki Pulse: Man,8
20,Fortitude I,Passive,Life +50,Hands of Death I ,8
21,Fortitude II,Passive,Life +30,"Fortitude I
Damage Boost: Stamina
Cleared Mission ''The Sun Sets on Mount Tenno''",8
22,Damage Boost: Stamina,Custom Active Skills,Grants certain Active Skills a damage bonus based on your Stamina. Ki Consumption Rate 1.10,Running Water: Man,8
23,Damage Boost: Dexterity,Custom Active Skills,Grants certain Active Skills a damage bonus based on your Dexterity. Ki Consumption Rate 1.10,Nimble Slice,8
24,Reckless Slice,Custom Active Skills,"Increases the damage dealt by certain Active Skills by 10%. In exchange, you will not be able to perform a Ki Pulse. ",Running Water: Heaven,8
25,Fortitude III,Passive,Life +20,"Fortitude II
Composure",8
26,Hands of Death I,Passive,Increases bare-handed attack damage by 20%,"Ki Pulse: Man 
Ki Pulse: Earth",8
27,Composure,Active,Pressing  __ buttons when guarding against armed human enemy to take their weapons and perform a counterattack. Can only be used when bare-handed.,Hands of Death I,8
28,Hands of Death II,Passive,Increases bare-handed attack damage by 20%,Hands of Death I,8
29,Hands of Death III,Passive,Increases bare-handed attack damage by 20%,"Hands of Death II
Cleared Mission ''???''",8
30,Nimble Slice,Custom Active Skills,"Reduces the damage dealt by certain Active Skills by 20%. In exchange, they will consume less ki to perform. Ki Consumption Rate 0.90",Running Water: Earth,8
31,Ki Pulse: Earth,Active,Activates when you recover full Ki from a Ki Pulse. Applies a special effect that negates the Ki consumption resulting from your next dodge action. (Low stance only),Base,8
32,Running Water: Earth,Active,Dodging at the perfect timing will now automatically trigger a Ki Pulse. (Low stance only),Ki Pulse: Earth,8
33,Grapple,Active,"Grapples a human enemy who is out of Ki or a downed yokai, then follows up with a powerful attack.",Stance,8
34,Stance,Active,"Press ___ Buttons to switch between high, mid  and low stances.",Base,8
35,Ki Pulse,Active,"When surrounded by blue light after an attack, press ___ button to recover your Ki.",Stance,8
36,Purify Yokai Realm,Active,"Activates when you recover the maximum amount of Ki from a Ki Pulse, while inside a Yokai Realm pool. Purifies and removes any Youkai Realm pools around you.",Ki Pulse,8
37,Purify Yokai Realm: Heaven,Passive,"While in High Stance: Increases your attack strength when you perform a purification with a perfectly timed Ki Pulse, recovering the maximum amount of Ki possible.",Ki Pulse: Heaven,8
38,Purify Yokai Realm: Man,Passive,"While in Mind Stance: Increases your defense when you perform a purification with a perfectly timed Ki Pulse, recovering the maximum amount of Ki possible.",Ki Pulse: Man,8
39,Purify Yokai Realm: Earth,Passive,"While in Low Stance: Increases your Ki recovery Speed when you perform a purification with a perfectly timed Ki Pulse, recovering the maximum amount of Ki possible.",Ki Pulse: Earth,8
40,Flux,Active,Changing to another stance or a successful Ki Pulse increases the amount of Ki recovered,Ki Pulse,8
41,Flux II,Active,Increases Ki recovery when you with dances during Flux.,Flux,8
42,Flash Attack,Active,Performs a quick attack when switching weapons after a successful Ki Pulse,Flux II,8
0,Burst Counter: Brute,Active,"Consume 1 Anima to unleash a devastating attack. Deals immense Ki damage if you successfully interrupt an enemy's Burst Attack. (Only available for Brute type). Guardian Spirits).
Command: R2 + Square Button.",Base,9
1,Burst Counter: Feral,Active,"Consume 1 Anima to dash forward, leaving an afterimage in your wake. Allows you to perform a follow-up attack and deal immense Ki damage if an enemy's Burst Attack comes into contact with your afterimage. (Only available for Feral type Guardian Spirits.)
Command: R2 + Square Button.",Base,9
2,Burst Counter: Phantom,Active,"Consume 1 Anima to guard against incoming enemy attacks. Guard against a Burst Attack at the right moment to stagger the enemy and deal immense Ki damage. (Only available for Phantom type Guardian Spirits.)
Command: R2 + Square Button",Base,9
3,Fang Break,Active,"Repels an incoming attack, staggering the enemy. (Only available when in Brute form.)
Command: L1 + Triangle Button (triangle while guarding).",Burst Counter: Brute,9
4,Shadowstep,Active,Allows you to perform a dodge in the middle of a Quick Attack. (Only available when in Feral form.),Burst Counter: Feral,9
5,Shadowstab,Active,Allows you to perform a Quick Attack immediately after using Shadowstep. (Only available when in Feral form.),Shadowstep,9
6,Blood Moon: Yin,Active,"Holding down L2 readies your weapon for an aimed throw at the enemy executed by pressing R2 . If your weapon finds its mark, you will instantly be teleported to your enemy's side. (Only available when in Phantom form.)",Burst Counter: Phantom,9
7,Blood Moon: Yang,Active,"Perform a Strong Attack, or follow a Quick Attack with a Strong Attack to throw your weapon. (Only available when in Phantom form.)",Burst Counter: Phantom,9
8,Demonic Destruction I,Passive,Reduces the depletion of the Yokai Shift Gauge by 10% when performing attacks in yokai form.,Fang Break,9
9,Dragon Vein I,Passive,Increases the rate at which you gain Anima by 3%.,"Imperious Strike
Requires a certain amount of Astral Wisdom",9
10,Hasten Awakening I,Passive,Increases the rate at which your Yokai Weapon gains Sentience by 10%.,"Requires a certain amount of Astral Wisdom
Arcana of Fire",9
11,Enduring Awakening I,Passive,Extends the amount of time your Yokai Weapon remains in an Awakened State by 10%.,"Requires a certain amount of Astral Wisdom
Arcana of Water",9
12,Dark Vitality I,Passive,Increases the amount of health you recover by 10% while in the Dark Realm.,Dark Discipline I,9
13,The Dragon's Echo I,Passive,Recovers 5% of the Anima spent to perform a Yokai Ability if its type matches the type of your Guardian Spirit.,Absorb Yokai Realm I,9
14,Guardian Bond: Aether,Passive,Extends the duration a Scampuss will accompany you by 10%.,The Yokai Within I,9
15,Sudama Friend I,Passive,Increases your chances of receiving a valuable item from a Sudama by 5%.,"Requires a certain amount of Astral Wisdom
Guardian Bond: Shadow I",9
16,Curative Cores I,Passive,Restores 40% of your health when you obtain a Soul Core.,"Special Finesse: Recuperate I
Requires a certain amount of Astral Wisdom",9
17,Arcana of the dead,Custom Active Skills,"Increases the damage and Ki damage dealt by certain Active Skills by 5%. In exchange, any elemental effects of these skills will be lost.","Soul Atrophy I
Requires a certain amount of Astral Wisdom",9
18,Arcana of Serpents,Custom Active Skills,"Imbues certain Active Skills with the Poison element.
Ki Consumption Rate 1.20","Special Finesse: Invigorate
Requires a certain amount of Astral Wisdom.",9
19,Earth Vein I,Passive,Increases your maximum Anima by 0.5.,"Requires a certain amount of Astral Wisdom.
Special Finesse: Refresh I",9
20,Arcana of Vermin,Custom Active Skills,"Imbues certain Active Skills with the Paralysis element.
Ki Consumption Rate 1.20",Requires a certain amount of Astral Wisdom,9
21,Arcana of Fire,Custom Active Skills,"Imbues certain Active Skills with the Fire element.

Ki Consumption Rate 1.40","Fiendish Maw I
Requires a certain amount of Astral Wisdom",9
22,Guardian Bond: Aether,Passive,Imbues the shockwave that is produced when activating Yokai Shift with an element determined by your Guardian Spirit.,Special Finesse: Refressh I,9
23,Demonic Discipline I,Passive,Extends the duration of Yokai Shift by 7%.,Burst Counter: Feral,9
24,Silver Lining I,Passive,Increases your Luck by 5 while in the Dark Realm.,"Requires a certain amount of Astral Wisdom
The Dark Within I",9
25,Guardian Bond: Light I,Passive,Increases damage dealt by Guardian Spirit Skills by 5%.,"Blood Moon: Yang
Fiendish Maw I",9
26,Demonic Tenacity I,Passive,Reduces the depletion of the Yokai Shift Gauge by 10% when taking damage in yokai form.,Burst Counter: Brute,9
27,Demonic Defense I,Passive,Reduces the depletion of the Yokai Shift Gauge by 20% when guarding in yokai form.,Blood Moon: Yin,9
28,Demonic Dexterity I,Passive,Reduces the depletion of the Yokai Shift Gauge by 10% when dodging in yokai form.,Burst Counter: Feral,9
29,Dark Discipline I,Passive,Extends the duration of Yokai Shift by 14% while in the Dark Realm.,"Demonic Discipline I
Dark Acumen I",9
30,Guardian Bond: Shadow I,Passive,Reduces the depletion of the Yokai Shift Gauge by 5% when using a Guardian Spirit Skill in yokai form.,Demonic Dexterity I,9
31,Soul Atrophy I,Passive,Yokai Abilities reduce an enemy's maxinun Ki by 3% more than norm.,"Requires a certain amount of Astral Wisdom
Arcana of Serpents
Arcana of Water",9
32,Quelling Requiem I,Passive,Increases the drop rate of Soul Cores by 3%.,"Requires a certain amount of Astral Wisdom
Demonic Acumen I",9
33,Demonic Acumen I,Passive,Increases the drop rate of items by 5% while you are in Yokai Shift.,"Requires a certain amount of Astral Wisdom
Arcana of Lightning",9
34,Demonic Ascension I,Passive, Increases the amount of Amrita earned by 5% while you are in Yokai Shift.,Demonic Discipline I,9
35,Dark Ascension I, Passive, Increases the amount of Amrita earned by 3% while in the Dark Realm. ,"Requires a certain amount of Astral Wisdom
Dark Discipline I",9
36,The Dark Within I,Passive,Reduces the penalty to your Ki recovery speed while in the Dark Realm by 15%.,The Yokai Within I,9
37,Dark Acumen I,Passive,Increases the drop rate of items by 2% while in the Dark Realm.,Burst Counter: Feral,9
38,Fiendish Maw I,Passive,Restores 20% of your health when you successfully grapple an enemy while in Yokai Shift.,Burst Counter: Brute,9
39,The Yokai Within I,Passive,Reduces the penalty to your Ki recovery speed while in the Yokai Realm by 15%.,Devour Yokai Realm I,9
40,Special Finesse: Refresh I,Passive,Restores 40% of your Ki when you successfully perform a Burst Counter.,"Requires a certain amount of Astral Wisdom
Arcana of Lightning",9
41,Special Finesse: Recuperate I,Passive,Restores 20% of your health when you successfully perform a Burst Counter if your health is dangerously low.,"Requires a certain amount of Astral Wisdom
Arcana of Fire
Murderous Strike",9
42,Special Finesse: Focus,Passive,Increases the damage dealt by your next Yokai Ability when you successfully perform a Burst Courtier.,"Requires a certain amount of Astral Wisdom
Special Finesse: Refresh I",9
43,Special Finesse: Invigorate,Passive,Increases your Ki recovery speed when you successfuly perform a Burst Counter.,Burst Counter: Phantom,9
44,Devour Yokai Realm I,Passive,"Increases your Anima by 1.2 when you purify the Yokai Realm with a perfectly timed Ki Pulse, recovering the maximum amount of ki possible.",Base,9
45,Absorb Yokai Realm I,Passive,"Allows you to use a Yokai Ability while in the Yokai Realm to purify it, increasing your Anima by 0.7.",Devour Yokai Realm I,9
46,Feline Friend I,Passive,Extends the duration a Scampuss will accompany you by 10%.,"Requires a certain amount of Astral Wisdom
Guardian Bond: Light I",9
47,Arcana of Water,Custom Active Skills,Imbues certain Active Skits with the Water element.,"Requires a certain amount of Astral Wisdom
Blood Moon: Yang",9
48,Arcana of Lightning,Custom Active Skills,Imbues certain Active Skills with the lightning element. Ki Consumption Rate 1.40 ,"Requires a certain amount of Astral Wisdom
Demonic Dexterity I",9
49,Arcana of Power,Custom Active Skills,"Imbues certain Active Skills with the Corruption element.
Ki Consumption Rate 1.40","Requires a certain amount of Astral Wisdom
Soul Atrophy I",9
50,Leechkin I,Passive,Restores your health by 3% when you damage an enemy with a Yokai Ability.,"Requires a certain amount of Astral Wisdom
Arcana of Vermin",9
51,Raging Strike,Custom Active Skills,"Increases the damage dealt by certain Active Skills by 20%. In exchange, you will take damage when using them.
Ki Consumption Rate 1.10 ","Requires a certain amount of Astral Wisdom
Demonic Destruction I",9
52,Ravenous Strike,Custom Active Skills,"Restores your health by 1% of the damage dealt with certain Active Skills.
Ki Consumption Rate 1.30","Requires a certain amount of Astral Wisdom
Special Finesse: Recuperate I",9
53,Desperate Strike,Custom Active Skills,"Restores your health by 30% of the damage dealt with certain Active Skills if your health is dangerously low.
Ki Consumption Rate 1.30","Requires a certain amount of Astral Wisdom
Hasten Awakening I",9
54,Refulgent Strike,Custom Active Skills,Increases the amount of Anrita earned when defeating an enemy with certain Active Skills by 100%. Ki Consumption Rate 1.10,"Requires a certain amount of Astral Wisdom
Guardian Bond: Aether",9
55,Mercenary Strike,Custom Active Skills,Increases the drop rate of items by 10% when defeating an enemy with certain Active. Ki Consumption Rate 1.30,"Requires a certain amount of Astral Wisdom
Enduring Awakening I",9
56,Murderous Strike,Custom Active Skills,"Restores 5% of your maximum health when defeating an enemy with certain Active Skills.
Ki Consumption Rate 1.20
 ","Requires a certain amount of Astral Wisdom
Demonic Tenacity I",9
57,Imperious Strike,Custom Active Skills,"Increases the amount of Anima gained by 50% when you hit an opponent with certain Active Skills.
Ki Consumption Rate 1.40","Requires a certain amount of Astral Wisdom
Demonic Ascension I
The Dragon's Echo I",9
0,Body Swap,Active,"Swaps places with the enemy in front of you to get behind them.
Command: L1 + Square button (square While guarding).",Base,10
1,Resounding Lunge,Active,"Ready your spear and build up your energy before unleashing a powerful strike forward. Charging this attack to its maximum strength will cause your strike to release a devastating shockwave.
Command: L1 + Square button (Square while guarding)","Cleared Mission ''???''
Chidori",10
2,Tornado,Active,"Strikes the ground with the butt of the wear. unleashing a shock wave. Press the attack button again to spin the spear and slash at foes.
Command: triangle button at end of combo.","Twisting Spear
Cleared Mission ''???''",10
3,Water Wheel,Active,"Follows up a combo with a vertical spear strike that smashes down on the opponent. (Mid Stance Only).
Command: triangle button at end of combo",Body Swap,10
4,Relentless I,Passive,Maximum ki increases by +30 when you have a spear equipped as your main weapon.,Water Wheel,10
5,Relentless II,Passive,Maximum Ki increases by +20 when you have a spear equipped as your main weapon.,Relentless I,10
6,Relentless III,Passive,Maximum Ki increases by +10 when you have spear equipped as your main weapon.,Relentless II,10
7,Entangle,Active,"Sweeps an enemy's legs to knock them down. (Mid Stance only).
Command: L1 + triangle button (triangle while guarding)",Body Swap,10
8,Full Moon Kata I,Passive,"While in full health, your melee damage increases by 3% when you have a spear equipped as your main weapon.",Entangle,10
9,Full Moon Kata II,Passive,"While in full health, your melee damage increases by 2% when you have a spear equipped as your main weapon.","Full Moon Kata I
Cleared Mission ''The Sun Sets On Mount Tenno''.",10
10,Full Moon Kata III,Passive,"While in full health, your melee damage increases by 1% when you have a spear equipped as your main weapon.","Full Moon Kata II
Cleared Mission ''???''",10
11,Pole Kick,Active,"Follows up a combo with a kick that uses your spear for support. (Mid/ Low stance only).
Command: Triangle button at end of combo",Body Swap,10
12,Wild Spear,Active,"Charges forward while swinging the spear around.
Command: Hold X button while guarding","Pole Kick
Cleared Mission ''The Sun Sets On Mount Tenno''",10
13,Flying Monkey,Active,"Leaps over an enemy to get behind them. (Low stance only).
Command: L3 Up + X at end of combo.",Back Slash,10
14,Flying Monkey II,Active,"After Flying Monkey, lets you stab downward with an additional button press.",Flying Monkey,10
15,Back Slash,Active,"Slashes enemy while stepping back (low Stance only).
Command: L1 + square button (square While guarding.",Flying Monkey,10
16,Rainbow Ruse,Active,"After a Ki Pulse, you can press the desired direction before using your spear to support you as you jump to evade the enemy. (Low stance only)",Flying Monkey,10
17,Cornered Boar I,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 15% when you have a spear equipped as your main weapon",Back Slash,10
18,Cornered Boar II,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 10% when you have a spear equipped as your main weapon","Cornered Boar I
Cleared Mission ''The Sun Sets On Mount Tenno''",10
19,Cornered Boar III,Passive,"When your health drops to 30% or lower, the damage you receive is reduced by 5% when you have a spear equipped as your main weapon","Cornered Boar II
Cleared Mission ''???''",10
20,Spear Bash,Active,"Use the butt of the spear to quickly throw the opponent off balance. (Low Stance only).
Command: Square button at end of combo. ",Back Slash,10
21,Spear Shove,Active,"Shoves an opponent using the spear's shaft, staggering them.
Command: L1 + triangle button (triangle While guarding)",Base,10
22,Chidori,Active,"Follows up a combo with a blow using the butt of the spear. If the attack reduces the enemy's Ki to zero, it will launch them into the air. (Press triangle button to perform additional attack).
Command: triangle button at end of combo.",Spear Shove,10
23,Passage to the Afterlife I,Passive,Increases grapple damage by 4% when you have a spear equipped as your main weapon.,"Spear Shove



 ",10
24,Passage to the Afterlife II,Passive,Increases grapple damage by 3% when you have a spear equipped as your main weapon.,"Passage to the Afterlife I
Cleared Mission ''The Sun Sets On Mount Tenno''.",10
25,Merciless Barrage,Active ,"Launches an opponent who is out of Ki into the air, and follows up with a powerful thrust attack.
Command: triangle button on opponent out of Ki.","Passage to the Afterlife I
Cleared Mission ''???''",10
26,Passage to the Afterlife III,Passive,Increases grapple damage by 2% when you have a spear equipped as your main weapon.,"Passage to the Afterlife II
Cleared Mission ''???''",10
27,Rising Dragon,Active,"After getting knocked down, press triangle button to attack while getting back up.
Command: triangle button while downed.","Spear Shove
Flying Monkey",10
28,Armor Piercer I,Passive,Increases Final Blow damage by 4% when you have a spear equipped as your main weapon. Command: L1 + triangle button (triangle while guarding).,Spear Shove,10
29,Armor Piercer II,Passive,Increases Final Blow damage by 3% when you have a spear equipped as your main weapon.,"Armor Piercer I
Cleared Mission ''The Sun Sets On Mount Tenno''.",10
30,Armor Piercer III,Passive,Increases Final Blow damage by 2% when you have a spear equipped as your main weapon.,"Armor Piercer II
Cleared Mission ''???''",10
31,Cornered Tiger I,Passive,"When your health is below 30%, your melee damage will be increased by 15% when you have a spear equipped as your main weapon.",Rising Dragon,10
32,Cornered Tiger II,Passive,"When your health is below 30%, your melee damage will be increased by 10% when you have a spear equipped as your main weapon.",Cornered Tiger I,10
33,Cornered Tiger III,Passive,"When your health is below 30%, your melee damage will be increased by 5% when you have a spear equipped as your main weapon.","Cornered Tiger II
Cleared Mission ''???''",10
34,Twisting Spear,Active,"Twirls the spear around to gain momentum, then perform a single powerful strike.","Spear Shove
Piercing Rain
Cleared Mission ''Sun Sets On Mount Tenno''",10
35,Piercing Rain,Active,"Follows up a combo with a flurry of powerful blows, fiercely thrusting at the enemy five times. (High stance only).
Command: triangle button at end of combo.",Base,10
36,Spearfall,Active,"Follows up a combo with a horizontal slash, then slams the spear down on the enemy. (High stance only).
Command: triangle button at end of combo.",Piercing Rain,10
37,First Rule of Thrusting,Passive,"Damage of thrust attacks increases by 3% when you have a spear equipped as your main weapon. (High Stance Only).
Command: triangle button at end of combo.",Piercing Rain,10
38,Second Rule of Thrusting,Passive,Damage of thrust attacks increases by 2% when you have a spear equipped as your main weapon.,"First Rule of Thrusting
Cleared Mission ''The Sun Sets On Mount Tenno''.",10
39,Third Rule of Thrusting,Passive,Damage of thrust attacks increases by 1% when you have a spear equipped as your main weapon.,"Second Rule of Thrusting
Cleared Mission ''???''",10
40,Spear Flourish,Active,"Knocks the enemy backwards when you perform a Ki Pulse. ( High stance only).
Command: Triangle button at end of combo.",Piercing Rain,10
41,Indomitable Spirit I,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 15% when you have a spear equipped as your main weapon.",Flying Monkey II,10
42,Indomitable Spirit II,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 10% when you have a spear equipped as your main weapon.",Indomitable Spirit I,10
43,Indomitable Spirit III,Passive,"When your health drops to 30% or lower, your Ki recovery speed will be increased by 5% when you have a spear equipped as your main weapon.",Indomitable Spirit II,10
44,Windmill,Active,"Swings the blade around you in a wide circle, at its furthest reach (High Stance Only).
Command: L1+ triangle button (triangle while guarding).",Spearfall,10
45,Windmill II,Active,Pressing and holding the button allows you to extend the duration of the spin. (High Stance Only),Windmill,10
46,Twirl,Active,"Parries an enemy attack and knock them down. (Mid stance only).
Command: L1 +triangle button (triangle while guarding",Body Swap,10
47,Twirl II,Active,"When Twirl is successful, increases your attack power. (Mid stance only)",Twirl,10
48,Shadow Strike II,Passive,Damage dealt to enemies from behind increases by 2% when you have a spear equipped as your main weapon.,"Shadow Strike I
Cleared Mission ''The Sun Sets On Mount Tennon''.",10
49,Shadow Strike III,Passive,Damage dealt to enemies from behind increases by 1% when you have a spear equipped as your main weapon.,"Shadow Strike II
Cleared Mission ''???''",10
50,Shadow Strike I,Passive,Damage dealt to enemies from behind increases by 3% when you have a spear equipped as your main weapon.,Body Swap,10
0,Merciful Retribution,Active,"Perform a mighty thrust with the switchglaive in scythe form before puling it back towards you, slashing at the enemy. (High Stance Only).
Command: Hold Triangle button.","Focused Retribution
Just Reprisal",11
1,Divine Retribution,Active,"Swing the switchglaive downwards in scythe form while moving forward. If your swing connects with the enemy, you will cut them down while propelling yourself into the air. (High Stance Only)",Focused Retribution,11
2,Mortal Retribution,Active,"Follow up a Quick Attack with a sideways swing of the switchglaive in scythe form, attacking the enemy and drawing them (High Stance Only).
Command: Triangle Button at end of combo.",Focused Retribution,11
3,Focused Retribution,Active,"Twist your body, building up enough energy to urieash two diagonal slashes at the enemy. (High Stance Only).
Command: Hold Triangle button.", Base,11
4,Infinite Retribution,Active,"Continuously spin your switchglaive in scythe form. (High Stance Orly).
Command: L1 + Square (Square While guarding).","Divine Retribution
Cleared Mission ""The Sun Sets On Mount Tenno"".",11
5,Celestial Retribution,Active,"Use the switchglaive in scythe form to fling a winded enemy high into the air. (High Stance Only).
Command: Square button on opponet out of ki. ",Mortal Retribution,11
6,Mind's Edge,Active,"Follow up a Quick Attack by thrusting the butt end of your switchglaive towards and toward the enemy. (Mid Stance Only).
Command: Triangle Button at end of combo.",Just Reprisal,11
7,Blinding Edge,Active,"Drag your switchglaive across the ground before lifting it high, sending debris flying toward the enemy with a twisting, stab. (Mid Stance Only).
Command: L1 + Square (Square While guarding).",Just Reprisal,11
8,Just Reprisal,Active,"Parry the enemy's attack, circling around them carefully before going in for a diagonal slash. (Mid Stance Only).
Command: L1 + Triangle (Triangle While guarding).", Base,11
9,Calamitous Blade,Active,"Swiftly step towards the enemy while giving the switchglaive a mighty upward swing in guillotine form. (Low Stance Only).
Command: L1 + Triangle (Triangle While guarding).",Transient Blade,11
10,Transient Blade,Active,"Perform a twisting stab after a Quick Attack. then spring back while twirling your weapon. (Low Stance Only).
Command: Triangle Button at end of combo.", Base,11
11,Whirling Blade,Active,"Spin the switchglaive in guilotine form, repeling any arrows or bullets fired in your direction. (Low Stance Only).
Command: L1 + Square (Square While guarding).","Skyward Blade
Cleared Mission ""???""",11
12,Skyward Blade,Active,"Crouch down before springing upward with a swing of the switchglaive in guillotine form. Completely depleting a human opponents Ki with this skill will cause them to fall oven. (Low Stance Only).
Command: L1 + Square (Square While guarding). ",Transient Blade,11
13,Lightning Blade,Active,"Use your enemy's strength to propel yourself upwards before dropping onto them with immense force. (Low Stance Only),
Command: L1 + Triangle (Triangle While guarding). ",Calamitous Blade,11
14,Switch Stance: Retribution,Active,"Follow up another attack by switching the switchglaive into scythe form and slashing downwards, transitioning into High Stance. (Mid/low Stance Only).
Command: Following another attakc R1 + Triangle. ",The Path of Three,11
15,Switch Stance: Edge,Active,"Follow up another attack by switching the switchglaive into glaive form and mowing down enemies in your surroundings, transitioning into Mid Stance. (High/Low Stance Only).
Command: Following another attakc R1 + Square button.  ",The Path of Three,11
16,Switch Stance: Blade,Active,"Follow up another attack by switching the switchglaive into guillotine form and pressing-- forward with an attack, transitioning Stance. (High/Mid Stance Only).
Command: Following another attakc R1 + X ",The Path of Three,11
17,The Path of Three,Active,"Switch the switchglaive from guillotine to glaive and then to scythe form while continuously attacking the enemy.
Command: Hold Triangle", Base,11
18,Thin Air,Active,"Only usable when your weapon is sheathed. Unleashes a sudden thrust at the enemy with
the switchglaive in glaive form.
Press R1 + Triangle Button to perform a follow-up attack in scythe form. and R1 + X to do so in guillotine form.
Command: Hold R1 + Circle Button",Switch Stance: Edge Rakshasa,11
19, ,Active,"Increases the amount of Anima you gain when you attack an enemy. In exchange, you will receive more Ki damage. 
Command: R1 + Circle Button.",Thin Air,11
20,Relentless I,Passive,Maximurn Ki increases by +30 when you have a switchglaive equipped as your main weapon.,Focused Retribution,11
